상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000001,계동길,CS100001,한식음식점,34477738.8,34545375.2,35633388.6,34397308.3,34763452.73,20
1000001,계동길,CS100002,중식음식점,40472439,45229622,42964728,44355601,43255597.5,1
1000001,계동길,CS100003,일식음식점,16555469.75,,19717455.67,22053379,19442101.47,3.333333333
1000001,계동길,CS100005,제과점,39255250.8,41698205.8,41953469.4,65202827,47027438.25,5
1000001,계동길,CS100006,패스트푸드점,21268492,26972515,30590122,29051675,26970701,2
1000001,계동길,CS100008,분식전문점,30916417.86,21965284.57,20253647.43,28579819.88,25428792.43,7.25
1000001,계동길,CS100010,커피-음료,27162560.24,25864763.48,21602146.35,17020438.85,22912477.23,20.5
1000001,계동길,CS200001,일반교습학원,,,,43000000,43000000,3
1000001,계동길,CS200028,미용실,16185788.75,15891852.25,20236478.25,17515045.5,17457291.19,4
1000001,계동길,CS300001,슈퍼마켓,19180156.15,19901189.43,19612803.07,16024648.79,18679699.36,14
1000001,계동길,CS300002,편의점,151574209.3,135612151.5,190841151.3,172493868,162630345,4
1000001,계동길,CS300010,반찬가게,,,,650654423.7,650654423.7,3
1000001,계동길,CS300011,일반의류,20657070.88,28209475.33,37847660.78,29272377.95,28996646.24,18.5
1000002,난계로27길,CS100001,한식음식점,31607612.5,22073271.3,35298784.1,21318434.09,27574525.5,10.25
1000002,난계로27길,CS100002,중식음식점,57712084,54990340.5,50071787.5,40534463,50827168.75,2
1000002,난계로27길,CS100009,호프-간이주점,127201454,153200980,148532547,127490049,139106257.5,1
1000002,난계로27길,CS100010,커피-음료,38940846.8,38161889.4,43114965.8,37395727.2,39403357.3,5
1000002,난계로27길,CS200028,미용실,5662482,7100147,5578523,4539187,5720084.75,1
1000002,난계로27길,CS200031,세탁소,15867065,20428316,11535937,19488361,16829919.75,1
1000002,난계로27길,CS300001,슈퍼마켓,16294679.86,16208733.17,17093354.17,12362709.43,15489869.15,6.5
1000002,난계로27길,CS300002,편의점,195464466,201131454.8,202890519.3,130843119.3,182582389.8,4
1000002,난계로27길,CS300011,일반의류,155891836.8,174634165,229240466.7,293386770.8,213288309.8,12.75
1000002,난계로27길,CS300022,화장품,,,,1972953.5,1972953.5,4
1000003,돈화문로11가길,CS100001,한식음식점,28599090.31,26843442.91,26433023.97,37551447.09,29856751.07,32.5
