상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기별매출평균
1000001,계동길,CS100001,한식음식점,34763452.73
1000002,난계로27길,CS100001,한식음식점,27574525.5
1000003,돈화문로11가길,CS100001,한식음식점,29856751.07
1000004,명륜길,CS100001,한식음식점,19747935.19
1000005,백석동길,CS100001,한식음식점,71158652.92
1000006,북촌로11길,CS100001,한식음식점,187546570.8
1000007,북촌로5길,CS100001,한식음식점,86010529.72
1000008,북촌로5나길,CS100001,한식음식점,103743925.5
1000009,삼청로5길,CS100001,한식음식점,173980424.3
1000010,성균관로5길,CS100001,한식음식점,28715091.12
1000011,숭인동길,CS100001,한식음식점,31683339.59
1000012,옥인길,CS100001,한식음식점,34747635.2
1000013,율곡로10길,CS100001,한식음식점,41082205.21
1000014,율곡로16길,CS100001,한식음식점,39190303.8
1000015,이화장길,CS100001,한식음식점,97452716.02
1000016,자하문로7길,CS100001,한식음식점,57889076.89
1000017,종로24길,CS100001,한식음식점,41410195.27
1000018,종로58가길,CS100001,한식음식점,102242367.5
1000019,종로65길,CS100001,한식음식점,39720805.56
1000020,지봉로8길,CS100001,한식음식점,57276252.98
1000021,창경궁로35길,CS100001,한식음식점,100611214.8
1000022,창신2길,CS100001,한식음식점,37162630.31
1000023,창신5길,CS100001,한식음식점,15074109.88
1000024,창신길,CS100001,한식음식점,1666666.667
1000025,통일로12길,CS100001,한식음식점,33062996.58
1000026,평창길,CS100001,한식음식점,201782208.5
1000027,필운대로1길,CS100001,한식음식점,44971606.89
1000028,난계로11길,CS100001,한식음식점,55265950.06
1000029,난계로21길,CS100001,한식음식점,159791941.3
1000030,다산로33길,CS100001,한식음식점,24284455
1000031,다산로36길,CS100001,한식음식점,35867738.88
1000032,다산로38길,CS100001,한식음식점,33002258.63
1000033,다산로39길,CS100001,한식음식점,30631325.3
1000034,동호로10길,CS100001,한식음식점,40799955.76
1000035,동호로11길,CS100001,한식음식점,43690514.82
1000036,동호로15길,CS100001,한식음식점,88324778.48
1000037,동호로20길,CS100001,한식음식점,19975888.75
1000038,동호로8길,CS100001,한식음식점,187532530.2
1000039,명동길,CS100001,한식음식점,96999741.95
1000040,삼일대로4길,CS100001,한식음식점,68529955.82
1000041,장충단로8길,CS100001,한식음식점,62983593.02
1000042,청구로17길,CS100001,한식음식점,67116504.91
1000043,청구로1길,CS100001,한식음식점,3992821.896
1000044,퇴계로12길,CS100001,한식음식점,26945609.65
1000045,퇴계로18길,CS100001,한식음식점,145739802.8
1000046,퇴계로46길,CS100001,한식음식점,58191373.43
1000047,퇴계로56길,CS100001,한식음식점,49146920.57
1000048,퇴계로8길,CS100001,한식음식점,44524845.84
1000049,퇴계로90길,CS100001,한식음식점,14945006.84
1000050,녹사평대로11길,CS100001,한식음식점,10428283.33
1000051,녹사평대로26길,CS100001,한식음식점,47973905.33
1000052,녹사평대로32길,CS100001,한식음식점,50913865.63
1000053,녹사평대로40나길,CS100001,한식음식점,96997550.64
1000054,녹사평대로46길,CS100001,한식음식점,28920713.88
1000055,대사관로34길,CS100001,한식음식점,88740040.93
1000056,두텁바위로1길,CS100001,한식음식점,19044898.67
1000057,백범로79길,CS100001,한식음식점,34441488
1000058,백범로90길,CS100001,한식음식점,71456498.12
1000059,서빙고로71길,CS100001,한식음식점,141123727.7
1000060,소월로20길,CS100001,한식음식점,10316710.28
1000061,신흥로20길,CS100001,한식음식점,68832985.54
1000062,우사단로10길,CS100001,한식음식점,30764462.57
1000064,우사단로4길,CS100001,한식음식점,35811248.62
1000065,원효로19길,CS100001,한식음식점,45255148.03
1000066,원효로41길,CS100001,한식음식점,47919688.1
1000067,원효로53길,CS100001,한식음식점,59304789.84
1000068,원효로89길,CS100001,한식음식점,46889523.79
1000069,이촌로22길,CS100001,한식음식점,18790304.76
1000070,이태원로27길,CS100001,한식음식점,93836358.71
1000071,이태원로54길,CS100001,한식음식점,143147961.1
1000072,장문로45길,CS100001,한식음식점,21434963.56
1000073,청파로47길,CS100001,한식음식점,63872786.66
1000074,청파로47나길,CS100001,한식음식점,26949248.45
1000075,청파로71길,CS100001,한식음식점,19568889.98
1000076,청파로73길,CS100001,한식음식점,16522451.9
1000077,한강대로104길,CS100001,한식음식점,87359872.8
1000078,한강대로15길,CS100001,한식음식점,67848087.29
1000079,한강대로43길,CS100001,한식음식점,149115007.9
1000080,한강대로52길,CS100001,한식음식점,58783437.22
1000081,한강대로62길,CS100001,한식음식점,47637777.2
1000082,한강대로7길,CS100001,한식음식점,113067060.1
1000083,한강대로88길,CS100001,한식음식점,158092114.1
1000084,한남대로20길,CS100001,한식음식점,146803776
1000085,회나무로13길,CS100001,한식음식점,30808734.52
1000086,효창원로39길,CS100001,한식음식점,28629349.44
1000087,후암로28길,CS100001,한식음식점,11337990.12
1000088,고산자로6길,CS100001,한식음식점,58668420.68
1000089,금호산2길,CS100001,한식음식점,14187427.81
1000090,금호산길,CS100001,한식음식점,43665400.64
1000091,둘레9길,CS100001,한식음식점,20104881.13
1000092,뚝섬로5길,CS100001,한식음식점,66973556.13
1000093,마장로27길,CS100001,한식음식점,34128511.32
1000094,마장로39길,CS100001,한식음식점,155529328.6
1000095,마조로16길,CS100001,한식음식점,9900678.292
1000096,마조로1길,CS100001,한식음식점,70049402.56
1000097,매봉길,CS100001,한식음식점,18087537.08
1000098,무수막길,CS100001,한식음식점,48479122.8
1000099,무학로6길,CS100001,한식음식점,109913103.7
1000100,무학봉28길,CS100001,한식음식점,54755771.08
1000101,무학봉길,CS100001,한식음식점,9453886.375
1000102,사근동길,CS100001,한식음식점,56590872.53
1000103,상원12길,CS100001,한식음식점,46155236.66
1000104,상원길,CS100001,한식음식점,118513191.4
1000105,서울숲2길,CS100001,한식음식점,92019843.3
1000106,성덕정17길,CS100001,한식음식점,20765419.29
1000107,성덕정길,CS100001,한식음식점,77730425.1
1000108,성수이로18길,CS100001,한식음식점,33051605.4
1000109,성수이로7길,CS100001,한식음식점,62126887.43
1000110,성수일로6길,CS100001,한식음식점,74295777.67
1000111,송정12라길,CS100001,한식음식점,23659956.67
1000112,송정4가길,CS100001,한식음식점,26531026.15
1000113,아차산로11길,CS100001,한식음식점,44793671.48
1000114,아차산로15길,CS100001,한식음식점,48866823.21
1000115,아차산로5길,CS100001,한식음식점,53498525.99
1000116,왕십리로14길,CS100001,한식음식점,43304810.15
1000117,왕십리로21길,CS100001,한식음식점,81955184.65
1000118,왕십리로26길,CS100001,한식음식점,40406991.73
1000119,왕십리로31길,CS100001,한식음식점,35809431.76
1000120,왕십리로6길,CS100001,한식음식점,69263659.12
1000121,용답29길,CS100001,한식음식점,47562686.7
1000122,용답중앙길,CS100001,한식음식점,6396872.538
1000123,장터길,CS100001,한식음식점,47578972.58
1000124,청계천로10나길,CS100001,한식음식점,86429654.41
1000125,한림말3길,CS100001,한식음식점,47541639.04
1000126,한림말길,CS100001,한식음식점,83438213.86
1000127,광나루로12길,CS100001,한식음식점,26560918.94
1000128,광나루로24길,CS100001,한식음식점,53429268.74
1000129,광나루로36길,CS100001,한식음식점,65045283.88
1000130,광나루로37길,CS100001,한식음식점,25059361.74
1000131,광나루로40길,CS100001,한식음식점,34946392.07
1000132,광나루로52길,CS100001,한식음식점,85015727.17
1000133,긴고랑로20길,CS100001,한식음식점,31754200.52
1000134,긴고랑로7길,CS100001,한식음식점,50106215.29
1000135,긴고랑로8길,CS100001,한식음식점,26326758.94
1000136,긴고랑로9길,CS100001,한식음식점,24568361.6
1000137,능동로13길,CS100001,한식음식점,60826455.36
1000138,능동로19길,CS100001,한식음식점,96092042.5
1000139,능동로34길,CS100001,한식음식점,70091867.92
1000140,능동로3길,CS100001,한식음식점,38351289.6
1000141,능동로4길,CS100001,한식음식점,21876669.42
1000142,동일로18길,CS100001,한식음식점,47358779.62
1000143,동일로24길,CS100001,한식음식점,25916251.44
1000144,뚝섬로23길,CS100001,한식음식점,30735452.25
1000145,뚝섬로24길,CS100001,한식음식점,20581174.06
1000146,뚝섬로48길,CS100001,한식음식점,58993399.13
1000147,뚝섬로54길,CS100001,한식음식점,52023157.33
1000148,뚝섬로58길,CS100001,한식음식점,33031155.84
1000149,뚝섬로64길,CS100001,한식음식점,15306740.19
1000150,면목로17길,CS100001,한식음식점,28114459.65
1000151,아차산로40길,CS100001,한식음식점,28341865.92
1000152,아차산로51길,CS100001,한식음식점,55865628
1000153,아차산로55길,CS100001,한식음식점,66466013.13
1000154,아차산로65길,CS100001,한식음식점,77428442.12
1000155,아차산로78길,CS100001,한식음식점,61022374.41
1000156,용마산로21길,CS100001,한식음식점,36429901.42
1000157,용마산로3길,CS100001,한식음식점,46543111.75
1000158,자양로11길,CS100001,한식음식점,24812148.49
1000159,자양로15길,CS100001,한식음식점,35723746.78
1000160,자양로26길,CS100001,한식음식점,38318361.78
1000161,자양로45길,CS100001,한식음식점,36742931.29
1000162,자양로50길,CS100001,한식음식점,15179994.25
1000163,자양로53길,CS100001,한식음식점,39554059.3
1000164,자양번영로3길,CS100001,한식음식점,28391036.53
1000165,천호대로109길,CS100001,한식음식점,51773860.64
1000166,천호대로123길,CS100001,한식음식점,65728299.51
1000167,천호대로129길,CS100001,한식음식점,53249617.04
1000168,경희대로3길,CS100001,한식음식점,58780101.78
1000169,경희대로4길,CS100001,한식음식점,48190375.64
1000170,난계로30길,CS100001,한식음식점,45167185.15
1000171,답십리로23길,CS100001,한식음식점,9397059.661
1000172,답십리로56길,CS100001,한식음식점,38886311.66
1000173,답십리로60길,CS100001,한식음식점,35492096.5
1000174,답십리로63길,CS100001,한식음식점,39939690.68
1000175,답십리로64길,CS100001,한식음식점,19844068.47
1000176,답십리로68길,CS100001,한식음식점,27652327.44
1000177,답십리로69길,CS100001,한식음식점,102051193.3
1000178,답십리로72길,CS100001,한식음식점,47477748.84
1000179,망우로18가길,CS100001,한식음식점,9095068.625
1000180,망우로18길,CS100001,한식음식점,53587339.03
1000181,망우로21길,CS100001,한식음식점,44663970.78
1000182,무학로16길,CS100001,한식음식점,29324190.41
1000183,무학로45길,CS100001,한식음식점,21789920.24
1000184,사가정로13길,CS100001,한식음식점,38263775.04
1000185,사가정로23가길,CS100001,한식음식점,34495085.38
1000187,서울시립대로16길,CS100001,한식음식점,18739555.25
1000188,서울시립대로29길,CS100001,한식음식점,40962318.23
1000189,서울시립대로4길,CS100001,한식음식점,28276926.49
1000190,약령시로17길,CS100001,한식음식점,30541959.43
1000191,왕산로32길,CS100001,한식음식점,20948818.91
1000192,왕산로33길,CS100001,한식음식점,30993821.23
1000193,왕산로43길,CS100001,한식음식점,29548886.83
1000194,이문로42길,CS100001,한식음식점,24551887.4
1000195,장한로14길,CS100001,한식음식점,81680363.14
1000196,장한로25길,CS100001,한식음식점,47548537.74
1000197,장한로26가길,CS100001,한식음식점,69849534.5
1000198,장한로26길,CS100001,한식음식점,53921044.94
1000199,장한로27가길,CS100001,한식음식점,36167548.27
1000200,장한로27길,CS100001,한식음식점,36030438.53
1000201,장한로5길,CS100001,한식음식점,45084771.11
1000202,장한로8길,CS100001,한식음식점,25584087.74
1000203,전농로29길,CS100001,한식음식점,17903201.86
1000204,전농로3길,CS100001,한식음식점,91336043.81
1000205,전농로4길,CS100001,한식음식점,58750633.64
1000206,제기로21길,CS100001,한식음식점,26624604.08
1000207,제기로5길,CS100001,한식음식점,38733189.12
1000208,천장산로7길,CS100001,한식음식점,37644484.23
1000209,천호대로12길,CS100001,한식음식점,21023985.42
1000210,천호대로17길,CS100001,한식음식점,74665067.43
1000212,천호대로77길,CS100001,한식음식점,21555594.81
1000213,천호대로97길,CS100001,한식음식점,24667290.39
1000214,한천로14길,CS100001,한식음식점,45905171.07
1000215,한천로33길,CS100001,한식음식점,26964192.82
1000216,한천로40길,CS100001,한식음식점,73550051.63
1000217,한천로46길,CS100001,한식음식점,31518728.81
1000218,휘경로14길,CS100001,한식음식점,9081713.807
1000219,휘경로23길,CS100001,한식음식점,4164351.75
1000220,휘경로2길,CS100001,한식음식점,42392503.56
1000221,휘경로3길,CS100001,한식음식점,80146729.68
1000222,겸재로29길,CS100001,한식음식점,49961782.06
1000223,겸재로36길,CS100001,한식음식점,19367834.68
1000224,겸재로54길,CS100001,한식음식점,36715789.62
1000225,공릉로12가길,CS100001,한식음식점,12478195.02
1000226,공릉로2길,CS100001,한식음식점,51710028.6
1000227,답십리로75길,CS100001,한식음식점,24210962.86
1000228,동일로100길,CS100001,한식음식점,10860531.26
1000229,동일로101길,CS100001,한식음식점,29352806.39
1000230,동일로112길,CS100001,한식음식점,46408158.74
1000231,동일로123길,CS100001,한식음식점,48933876.98
1000232,동일로130길,CS100001,한식음식점,11281871.13
1000233,동일로139가길,CS100001,한식음식점,52608908.83
1000234,동일로139길,CS100001,한식음식점,21230460.94
1000235,동일로140길,CS100001,한식음식점,35401128.23
1000236,동일로149길,CS100001,한식음식점,20243055.97
1000237,동일로157길,CS100001,한식음식점,37490141.09
1000238,동일로163길,CS100001,한식음식점,31481545.78
1000239,망우로68길,CS100001,한식음식점,73221275.98
1000240,망우로73길,CS100001,한식음식점,22805943.73
1000241,면목로21길,CS100001,한식음식점,22493490.03
1000242,면목로33길,CS100001,한식음식점,17189765.54
